,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales Price,Quantity,Discount,Profit,Order ID Year,Days to Ship,Customer Name Masked,Original Price,Total Revenue,Total Profit,Discount Price,Total Discount,Shipping Urgency,Days Last Order,Overall Revenue Generated,Overall Quantity Sold,Overall Discount Given,Ship Category,Discounted Price
0,1,CA-2016-152156,2016-08-11,2016-11-11,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,92,CG,261.96,523.92,83.8272,0.0,0.0,Standard,3093,1348.496,10,0.8,31+ Days,261.96
1,3,CA-2016-138688,2016-12-06,2016-12-06,Second Class,DV-13045,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,2016,0,DV,14.62,29.24,13.7428,0.0,0.0,Immediate,2803,5727.554,19,0.95,,14.62
3,6,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,2014,0,BH,48.86,342.02,99.1858,0.0,0.0,Immediate,2926,5062.754999999999,31,1.5,,48.86
4,13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2017,5,AA,19.439999999999998,46.656,16.3296,3.888,11.664,Standard,3014,190.486,10,0.2,1-5 Days,15.551999999999998
7,17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2014,7,PK,665.88,3995.2799999999997,79.9056,0.0,0.0,Standard,2764,8544.996,51,1.1,6-30 Days,665.88
8,18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2014,2,AG,55.5,111.0,19.98,0.0,0.0,Urgent,3033,689.276,15,0.2,1-5 Days,55.5
9,19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,2014,5,ZD,8.56,17.12,4.9648,0.0,0.0,Standard,2809,4689.320000000001,19,0.4,1-5 Days,8.56
10,22,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,2016,92,KB,19.46,136.22,35.417199999999994,0.0,0.0,Standard,2782,16087.744,62,1.5,31+ Days,19.46
11,24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2017,2,SF,101.96000000000001,142.744,-2.0392,30.588,61.176,Urgent,2922,2722.616,29,0.9,1-5 Days,71.37200000000001
13,26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2016,4,EH,14.559999999999999,23.296,8.4448,2.912,5.824,Standard,2972,2190.889,37,2.0,1-5 Days,11.648
